week,money_supply,grants_cumulative,arena_sink_cumulative,league_rake_cumulative,median_balance,p10_balance,p90_balance,pct_below_bronze_stake
1,2451337.333333333,800000.0,171772.66666666663,176890.0,251.33333333333331,40.66666666666674,408.0,0.135
2,2798403.6666666665,1454965.3333333333,320531.66666666704,336030.0,281.3333333333333,10.666666666666742,486.66666666666663,0.1639
3,3041887.0,1997063.3333333333,464836.3333333334,490340.0,310.0,11.0,529.3333333333333,0.1776
4,3232763.666666667,2477157.6666666665,602313.9999999995,642080.0,342.0,11.0,570.0,0.1823
5,3386600.6666666665,2918766.0,737935.3333333327,794230.0,351.3333333333333,10.666666666666742,592.0000000000001,0.1807
6,3512590.666666667,3333714.3333333335,873063.666666666,948060.0,365.33333333333326,11.0,616.6666666666667,0.1751
7,3609368.3333333335,3731489.3333333335,1020790.9999999993,1101330.0,371.3333333333333,11.0,636.0,0.1757
8,3705314.333333334,4115564.666666667,1154160.333333333,1256090.0,373.99999999999994,11.0,650.0000000000003,0.1699
9,3790901.666666667,4485816.333333334,1283074.666666665,1411840.0,379.3333333333334,11.333333333333485,667.4000000000003,0.1668
10,3869716.3333333335,4847322.666666667,1409366.333333331,1568240.0,390.0,12.0,682.0000000000002,0.1638
11,3903449.666666667,5200585.666666667,1572805.9999999972,1724330.0,393.99999999999994,12.0,688.0,0.1638
12,3944085.333333334,5548806.0,1724390.666666664,1880330.0,398.8333333333334,12.0,695.3333333333334,0.1635
13,3999773.3333333335,5892356.333333333,1855442.9999999977,2037140.0,400.0,12.0,710.6666666666669,0.1602
14,4024820.333333334,6231495.333333333,2012634.9999999972,2194040.0,400.0,12.0,720.0,0.1614
15,4093790.333333334,6572008.333333333,2126567.9999999967,2351650.0,404.0,12.000000000000052,741.0333333333335,0.1611
16,4109296.0000000005,6904113.666666666,2286377.6666666637,2508440.0,404.0,12.000000000000227,747.3333333333335,0.1601
17,4129411.0000000005,7235088.666666666,2440887.666666664,2664790.0,406.0000000000002,12.0,746.0,0.1593
18,4171638.3333333344,7565888.333333333,2571519.9999999986,2822730.0,410.0,12.0,747.3333333333336,0.1603
19,4194903.666666668,7892887.666666666,2718933.999999998,2979050.0,414.0,12.0,754.7333333333339,0.1616
20,4218251.333333335,8216581.999999999,2860660.6666666656,3137670.0,412.83333333333337,13.0,758.0666666666674,0.1568
21,4250166.333333334,8537082.333333332,2990685.9999999995,3296230.0,416.0000000000003,12.0,770.6666666666669,0.1561
22,4272707.666666668,8858189.666666666,3130192.0,3455290.0,416.6666666666666,13.0,772.0,0.1539
23,4282845.666666668,9179019.333333332,3282753.666666667,3613420.0,416.66666666666663,12.666666666667021,775.333333333334,0.157
24,4305821.666666668,9497670.333333332,3419328.6666666665,3772520.0,422.66666666666663,12.000000000000227,788.2000000000013,0.1569
25,4328109.666666668,9814943.999999998,3555374.333333334,3931460.0,422.66666666666663,12.00000000000017,794.666666666667,0.1546
26,4369726.000000001,10131024.666666664,3669648.666666667,4091650.0,427.1666666666673,13.0,798.0,0.1504
27,4376444.000000002,10443755.666666664,3815891.6666666665,4251420.0,427.66666666666674,13.0,804.8666666666685,0.1509
28,4378395.666666668,10755967.33333333,3966571.666666667,4411000.0,426.0000000000003,13.333333333333428,801.0,0.1509
29,4377625.333333335,11069607.999999996,4121802.6666666665,4570180.0,426.0,13.0,800.0,0.1521
30,4373685.000000001,11379558.33333333,4278033.333333335,4727840.0,425.0000000000002,12.66666666666697,804.0,0.1571
31,4364619.666666668,11691054.666666664,4440835.0,4885600.0,422.66666666666663,13.0,804.666666666667,0.1564
32,4388549.666666668,12006260.999999998,4573611.333333334,5044100.0,426.6666666666666,12.66666666666788,804.6666666666667,0.1554
33,4393393.333333335,12321893.333333332,4726330.0,5202170.0,428.0000000000004,13.0,804.0000000000007,0.1554
34,4418541.666666668,12634641.999999998,4855500.333333334,5360600.0,432.66666666666663,12.666666666668055,805.4000000000015,0.1546
35,4426346.666666668,12945684.999999998,4999618.333333334,5519720.0,432.66666666666663,13.0,817.4000000000015,0.1528
36,4438110.333333335,13256998.999999998,5140048.666666666,5678840.0,432.66666666666663,13.0,816.6666666666671,0.1543
37,4461219.000000002,13568199.666666664,5268600.666666664,5838380.0,432.66666666666663,13.0,824.6666666666675,0.1523
38,4464484.666666668,13874868.33333333,5411693.666666663,5998690.0,432.66666666666663,13.0,822.066666666667,0.1501
39,4447474.000000002,14184685.33333333,5579241.33333333,6157970.0,428.0,13.0,830.066666666667,0.1519
40,4471743.666666668,14498420.999999996,5708067.33333333,6318610.0,432.66666666666663,13.0,824.0000000000013,0.1481
